Poitrines de poulet,300g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gousse d'ail,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de coriandre,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Gingembre,10g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Échalote française,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Concombres libanais,3,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Tomates en dés,400ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Épices Tikka Masala,8g,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Crème à cuisson (15%),125ml,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Pains naan,2,"<h1 class=""name-of-dish-size"">Poulet Tikka Masala</h1>"
Filets de morue,300g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Gingembre,25g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Tomates sur vigne,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Radis noir,125g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Concombre libanais,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Botte de menthe,1,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Sauce de soya,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Riz jasmin,180g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Huile de sésame,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Vinaigre de riz,15ml,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Épice shichimi,2.5g,"<h1 class=""name-of-dish-size"">Morue Epicé de Shichimi et Riz au Jasmin</h1>"
Côtelettes de porc (Produit du Canada),300g,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
Citron,1,"<h1 class=""name-of-dish-size"">Côtelettes de Porc et Pommes Caramélisées</h1>"
